tier_zero_company,chain_id,tier,Tier,company,HQ region,2020 benchmark score,Market Cap in US$ bn,max_in_tier,min_in_tier,highlight
Samsung Electronics Co. Ltd.,0,0,Tier 0,Samsung Electronics Co. Ltd.,Asia,69.123824764953,309.60738,Yes,,No
Samsung Electronics Co. Ltd.,1,0,Tier 0,Samsung Electronics Co. Ltd.,Asia,69.123824764953,309.60738,Yes,,No
Samsung Electronics Co. Ltd.,2,0,Tier 0,Samsung Electronics Co. Ltd.,Asia,69.123824764953,309.60738,Yes,,No
Samsung Electronics Co. Ltd.,3,0,Tier 0,Samsung Electronics Co. Ltd.,Asia,69.123824764953,309.60738,Yes,,No
Samsung Electronics Co. Ltd.,4,0,Tier 0,Samsung Electronics Co. Ltd.,Asia,69.123824764953,309.60738,Yes,,No
Samsung Electronics Co. Ltd.,5,0,Tier 0,Samsung Electronics Co. Ltd.,Asia,69.123824764953,309.60738,Yes,,No
Samsung Electronics Co. Ltd.,6,0,Tier 0,Samsung Electronics Co. Ltd.,Asia,69.123824764953,309.60738,Yes,,No
Samsung Electronics Co. Ltd.,7,0,Tier 0,Samsung Electronics Co. Ltd.,Asia,69.123824764953,309.60738,Yes,,No
Samsung Electronics Co. Ltd.,8,0,Tier 0,Samsung Electronics Co. Ltd.,Asia,69.123824764953,309.60738,Yes,,No
Samsung Electronics Co. Ltd.,9,0,Tier 0,Samsung Electronics Co. Ltd.,Asia,69.123824764953,309.60738,Yes,,No
Samsung Electronics Co. Ltd.,10,0,Tier 0,Samsung Electronics Co. Ltd.,Asia,69.123824764953,309.60738,Yes,,No
Samsung Electronics Co. Ltd.,11,0,Tier 0,Samsung Electronics Co. Ltd.,Asia,69.123824764953,309.60738,Yes,,No
Samsung Electronics Co. Ltd.,12,0,Tier 0,Samsung Electronics Co. Ltd.,Asia,69.123824764953,309.60738,Yes,,No
Samsung Electronics Co. Ltd.,13,0,Tier 0,Samsung Electronics Co. Ltd.,Asia,69.123824764953,309.60738,Yes,,No
